Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed Apr 12 2023,SPXW230412C03450000,673.9,8.3,654.5,655.8,4,6.4237,1,0,4,3450,SPXW230412P03450000,0.05,0,0,0.05,0,5.0208,0,0,2881
Wed Apr 12 2023,SPXW230412C03600000,531.77,16.12,504.5,505.8,4,4.9903,1,0,9,3600,SPXW230412P03600000,0.05,0,0,0.05,0,3.8645,0,0,9980
Wed Apr 12 2023,SPXW230412C03625000,506.74,16.09,479.5,480.8,4,4.7542,1,0,10,3625,SPXW230412P03625000,0.1,0,0,0.05,0,3.6746,0,0,5089
Wed Apr 12 2023,SPXW230412C03650000,358.55,0,454.5,455.8,0,4.5186,1,0,6,3650,SPXW230412P03650000,0.05,0.025,0,0.05,16,3.4855,0,0,6391
Wed Apr 12 2023,SPXW230412C03675000,0,0,429.5,430.8,0,4.2836,1,0,0,3675,SPXW230412P03675000,0.04,0.015,0,0.05,250,3.297,0,0,7349
Wed Apr 12 2023,SPXW230412C03680000,442.36,0,424.5,425.8,0,4.2367,1,0,11,3680,SPXW230412P03680000,0.05,0.025,0,0.05,4,3.2594,0,0,1444
Wed Apr 12 2023,SPXW230412C03700000,429.97,14.32,404.5,405.8,2,4.0491,1,0,14,3700,SPXW230412P03700000,0.05,-0.025,0,0.05,1,3.1092,0,0,14909
Wed Apr 12 2023,SPXW230412C03710000,416.56,10.91,394.5,395.8,1,3.9554,1,0,2,3710,SPXW230412P03710000,0.05,0,0,0.05,14,3.0342,0,0,212
Wed Apr 12 2023,SPXW230412C03725000,397.82,7.17,379.5,380.8,8,3.8149,1,0,15,3725,SPXW230412P03725000,0.05,0,0,0.05,0,2.9219,0,0,149
Wed Apr 12 2023,SPXW230412C03730000,365.14,0,374.5,375.8,0,3.7681,1,0,3,3730,SPXW230412P03730000,0.05,-0.025,0,0.05,1,2.8845,0,0,301
Wed Apr 12 2023,SPXW230412C03745000,378.18,0,359.5,360.8,0,3.6277,1,0,5,3745,SPXW230412P03745000,0.03,-0.02,0,0.05,3,2.7724,0,0,180
Wed Apr 12 2023,SPXW230412C03750000,379.94,14.29,354.5,355.8,2,3.5809,1,0,10,3750,SPXW230412P03750000,0.05,-0.025,0,0.05,6,2.7351,0,0,2144
Wed Apr 12 2023,SPXW230412C03755000,364.83,4.18,349.5,350.8,2,3.5341,1,0,2,3755,SPXW230412P03755000,0.07,0,0,0.05,0,2.6978,0,0,117
Wed Apr 12 2023,SPXW230412C03760000,361.45,5.8,344.5,345.8,37,3.4873,1,0,65,3760,SPXW230412P03760000,0.07,0,0,0.05,0,2.6605,0,0,115
Wed Apr 12 2023,SPXW230412C03780000,350.06,14.41,324.5,325.8,17,3.3002,0.9999,0,30,3780,SPXW230412P03780000,0.15,0,0,0.05,0,2.5114,-0.0001,0,238
Wed Apr 12 2023,SPXW230412C03800000,330.52,14.87,304.5,305.8,4,3.113,0.9998,0,17,3800,SPXW230412P03800000,0.05,-0.025,0,0.05,25,2.3626,-0.0001,0,2327
Wed Apr 12 2023,SPXW230412C03825000,305.49,14.79,279.5,280.8,4,2.8788,0.9995,0,24,3825,SPXW230412P03825000,0.05,-0.025,0,0.05,10,2.1767,-0.0005,0,742
Wed Apr 12 2023,SPXW230412C03835000,271.23,-9.47,269.5,270.8,34,2.785,0.9993,0,45,3835,SPXW230412P03835000,0.22,0,0,0.05,0,2.1024,-0.0007,0,215
