Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Mar 31 2023,SPXW230331C04075000,14.62,11.22,14.6,15,20198,0.269,0.7811,0.0179,10208,4075.00,SPXW230331P04075000,2.05,-26.05,2,2.05,24594,0.2685,-0.2189,0.0179,574
Fri Mar 31 2023,SPXW230331C04080000,11.13,8.505,11.1,11.2,24533,0.2694,0.6821,0.0217,8755,4080.00,SPXW230331P04080000,3.41,-28.84,3.4,3.5,22787,0.2713,-0.3179,0.0217,318
Fri Mar 31 2023,SPXW230331C04085000,8.03,6.105,7.9,8.1,29050,0.2701,0.5665,0.0237,6010,4085.00,SPXW230331P04085000,5.26,-31.19,5.2,5.4,13166,0.2698,-0.4335,0.0237,1101
Fri Mar 31 2023,SPXW230331C04090000,5.43,4.055,5.4,5.6,41234,0.267,0.4461,0.0241,4865,4090.00,SPXW230331P04090000,7.7,-33.35,7.7,7.9,9151,0.2667,-0.5539,0.0241,350
Fri Mar 31 2023,SPXW230331C04095000,3.5,2.5,3.4,3.5,33538,0.2659,0.3243,0.0227,3022,4095.00,SPXW230331P04095000,10.8,-34.85,10.7,10.9,2221,0.2656,-0.6757,0.0227,170
Fri Mar 31 2023,SPXW230331C04100000,1.98,1.305,2,2.05,65816,0.2591,0.2135,0.0189,12622,4100.00,SPXW230331P04100000,14.5,-35.85,14.1,14.5,5690,0.2614,-0.7865,0.0189,2701
Mon Apr 03 2023,SPXW230403C04075000,25.16,15.71,25.2,25.4,2685,0.1207,0.6144,0.0084,1431,4075.00,SPXW230403P04075000,12.7,-20.8,12.1,12.3,1905,0.12,-0.3852,0.0084,78
Mon Apr 03 2023,SPXW230403C04080000,22,14.25,22.1,22.3,3568,0.1197,0.5725,0.0087,805,4080.00,SPXW230403P04080000,14.2,-22.8,14,14.2,1767,0.119,-0.4271,0.0087,28
Mon Apr 03 2023,SPXW230403C04085000,19.3,12.9,19.2,19.4,2639,0.1182,0.5289,0.0089,1641,4085.00,SPXW230403P04085000,16.2,-24.3,16.1,16.3,1690,0.1179,-0.4708,0.0089,21
Mon Apr 03 2023,SPXW230403C04090000,16.5,11.3,16.5,16.7,2167,0.1173,0.484,0.009,719,4090.00,SPXW230403P04090000,18.5,-25.9,18.4,18.7,999,0.1167,-0.5156,0.009,5
Mon Apr 03 2023,SPXW230403C04095000,14,9.9,14.1,14.3,1475,0.1165,0.4386,0.009,583,4095.00,SPXW230403P04095000,24.4,-24,21,21.2,287,0.1159,-0.5609,0.009,8
Mon Apr 03 2023,SPXW230403C04100000,11.9,8.6,11.9,12.1,6995,0.1155,0.3935,0.0089,2823,4100.00,SPXW230403P04100000,24.9,-27.65,23.8,24.1,1465,0.1149,-0.6062,0.0089,443
Tue Apr 04 2023,SPXW230404C04075000,27.8,13.85,30.5,30.7,1273,0.136,0.5911,0.0066,1754,4075.00,SPXW230404P04075000,18.6,-19.4,17.2,17.5,213,0.1354,-0.4085,0.0066,67
Tue Apr 04 2023,SPXW230404C04080000,25.2,13.15,27.4,27.7,437,0.1345,0.5584,0.0068,609,4080.00,SPXW230404P04080000,20.7,-20.4,19.2,19.4,419,0.1345,-0.4412,0.0068,19
Tue Apr 04 2023,SPXW230404C04085000,24.8,14.5,24.5,24.8,727,0.1332,0.5247,0.0069,1238,4085.00,SPXW230404P04085000,21.8,-22.6,21.3,21.5,361,0.1332,-0.475,0.0069,0
Tue Apr 04 2023,SPXW230404C04090000,21.5,12.75,21.9,22.1,457,0.1321,0.4902,0.007,342,4090.00,SPXW230404P04090000,24.5,-23.35,23.6,23.8,237,0.1321,-0.5094,0.007,4
Tue Apr 04 2023,SPXW230404C04095000,19.3,11.9,19.3,19.6,428,0.1312,0.4552,0.007,179,4095.00,SPXW230404P04095000,28.5,-23,26.1,26.3,86,0.1312,-0.5444,0.007,63
Tue Apr 04 2023,SPXW230404C04100000,17.2,10.95,17,17.2,1416,0.1303,0.4201,0.0069,1065,4100.00,SPXW230404P04100000,28.9,-26.45,28.7,29,466,0.1301,-0.5795,0.0069,239
Wed Apr 05 2023,SPXW230405C04075000,33.3,14.85,35.4,35.7,1199,0.1434,0.5875,0.0056,1149,4075.00,SPXW230405P04075000,23.24,-17.66,20.6,20.9,136,0.1429,-0.4125,0.0056,75
Wed Apr 05 2023,SPXW230405C04080000,32,15.65,32.4,32.6,177,0.1422,0.5597,0.0057,482,4080.00,SPXW230405P04080000,24.76,-18.99,22.6,22.8,104,0.142,-0.4403,0.0057,29
Wed Apr 05 2023,SPXW230405C04085000,29.3,29.3,29.5,29.7,171,0.1412,0.5312,0.0058,0,4085.00,SPXW230405P04085000,24.8,24.8,24.7,24.9,98,0.1407,-0.4688,0.0058,0
Wed Apr 05 2023,SPXW230405C04090000,26.3,13.65,26.7,26.9,615,0.1398,0.502,0.0059,1343,4090.00,SPXW230405P04090000,27.3,-22.8,26.9,27.1,328,0.1397,-0.498,0.0059,12
Wed Apr 05 2023,SPXW230405C04095000,24,24,24.1,24.3,346,0.1388,0.4724,0.0059,0,4095.00,SPXW230405P04095000,30,30,29.3,29.5,76,0.1387,-0.5276,0.0059,0
Wed Apr 05 2023,SPXW230405C04100000,21.5,12,21.7,21.9,1720,0.1378,0.4424,0.0059,2663,4100.00,SPXW230405P04100000,34.2,-22.85,31.8,32.1,705,0.1374,-0.5576,0.0059,24
Thu Apr 06 2023,SPXW230406C04075000,38.8,16.85,38.8,39,1028,0.1483,0.5768,0.005,2121,4075.00,SPXW230406P04075000,24.57,-20.08,24.3,24.5,366,0.1477,-0.4233,0.005,46
Thu Apr 06 2023,SPXW230406C04080000,34,14.1,35.7,36,1484,0.147,0.552,0.0051,1659,4080.00,SPXW230406P04080000,27.3,-20.15,26.2,26.5,418,0.1467,-0.448,0.0051,173
Thu Apr 06 2023,SPXW230406C04085000,32.9,32.9,32.9,33.1,212,0.1461,0.5267,0.0052,0,4085.00,SPXW230406P04085000,28.6,28.6,28.4,28.6,307,0.1458,-0.4734,0.0052,0
Thu Apr 06 2023,SPXW230406C04090000,28,12.05,30.1,30.4,393,0.145,0.5009,0.0052,447,4090.00,SPXW230406P04090000,31.1,-22.55,30.6,30.9,225,0.1445,-0.4991,0.0052,77
Thu Apr 06 2023,SPXW230406C04095000,27.58,27.58,27.5,27.8,154,0.1441,0.4748,0.0052,0,4095.00,SPXW230406P04095000,33.7,33.7,33,33.3,58,0.1436,-0.5252,0.0052,0
Thu Apr 06 2023,SPXW230406C04100000,25,12.5,25,25.3,2127,0.143,0.4485,0.0052,9208,4100.00,SPXW230406P04100000,36.2,-24.1,35.5,35.8,855,0.1425,-0.5515,0.0052,2559
Mon Apr 10 2023,SPXW230410C04075000,46.15,17.3,46.7,47,1053,0.144,0.5648,0.004,374,4075.00,SPXW230410P04075000,31.5,-20.05,31.8,32.1,27,0.1438,-0.4349,0.004,25
Mon Apr 10 2023,SPXW230410C04080000,41.7,15.15,43.7,44,52,0.143,0.545,0.0041,87,4080.00,SPXW230410P04080000,35.2,-18.95,33.8,34.1,89,0.1428,-0.4547,0.0041,17
Mon Apr 10 2023,SPXW230410C04085000,40,40,40.9,41.1,92,0.1422,0.5247,0.0041,0,4085.00,SPXW230410P04085000,38,38,35.9,36.2,60,0.1418,-0.4749,0.0041,0
Mon Apr 10 2023,SPXW230410C04090000,37.75,15.15,38.1,38.3,417,0.1412,0.5042,0.0042,247,4090.00,SPXW230410P04090000,40.8,-19.15,38.1,38.4,71,0.1408,-0.4955,0.0042,2
Mon Apr 10 2023,SPXW230410C04095000,34.15,34.15,35.4,35.7,30,0.1403,0.4834,0.0042,0,4095.00,SPXW230410P04095000,38.39,38.39,40.4,40.7,9,0.14,-0.5163,0.0042,0
Mon Apr 10 2023,SPXW230410C04100000,32.9,14.3,32.8,33.1,1187,0.1393,0.4623,0.0042,1774,4100.00,SPXW230410P04100000,45.6,-20.25,42.8,43.1,34,0.139,-0.5373,0.0042,13
Tue Apr 11 2023,SPXW230411C04075000,47.43,15.18,49.9,50.3,41,0.1479,0.5631,0.0037,529,4075.00,SPXW230411P04075000,35,-18.95,34.4,34.7,18,0.1475,-0.4366,0.0037,1
Tue Apr 11 2023,SPXW230411C04080000,47.84,18.34,46.9,47.2,27,0.1467,0.5447,0.0038,76,4080.00,SPXW230411P04080000,38.9,-17.6,36.4,36.7,29,0.1466,-0.455,0.0038,1
Tue Apr 11 2023,SPXW230411C04085000,43.5,15.9,44,44.3,19,0.1457,0.5259,0.0038,18,4085.00,SPXW230411P04085000,40.3,-18.95,38.5,38.8,5,0.1452,-0.4738,0.0038,0
Tue Apr 11 2023,SPXW230411C04090000,40.7,15.55,41.2,41.5,53,0.1448,0.5068,0.0039,33,4090.00,SPXW230411P04090000,40.65,-21.4,40.6,41,15,0.1443,-0.4929,0.0039,12
Tue Apr 11 2023,SPXW230411C04095000,38.1,38.1,38.5,38.8,17,0.1438,0.4874,0.0039,0,4095.00,SPXW230411P04095000,42.68,42.68,42.9,43.2,11,0.1434,-0.5123,0.0039,0
Tue Apr 11 2023,SPXW230411C04100000,33.92,12.67,35.8,36.1,248,0.1427,0.4678,0.0039,383,4100.00,SPXW230411P04100000,45.5,-22.65,45.3,45.6,218,0.1425,-0.5319,0.0039,23
Wed Apr 12 2023,SPXW230412C04075000,54.9,16.7,56.7,57,97,0.1638,0.5576,0.0032,321,4075.00,SPXW230412P04075000,41.55,-18.25,40.7,41,18,0.1635,-0.4421,0.0032,23
Wed Apr 12 2023,SPXW230412C04080000,55.33,19.08,53.7,54,45,0.1627,0.5416,0.0033,95,4080.00,SPXW230412P04080000,44.9,-17.45,42.7,43,24,0.1625,-0.4581,0.0033,14
Wed Apr 12 2023,SPXW230412C04085000,49.55,49.55,50.8,51.1,30,0.1617,0.5254,0.0033,0,4085.00,SPXW230412P04085000,45.65,45.65,44.8,45.1,4,0.1615,-0.4743,0.0033,0
Wed Apr 12 2023,SPXW230412C04090000,47.07,15.97,48,48.3,87,0.1608,0.5089,0.0033,139,4090.00,SPXW230412P04090000,55.63,-12.17,47,47.3,10,0.1603,-0.4908,0.0033,23
Wed Apr 12 2023,SPXW230412C04095000,44.05,44.05,45.2,45.5,20,0.1596,0.4922,0.0034,0,4095.00,SPXW230412P04095000,0,0,49.2,49.5,0,0.1594,-0.5075,0.0034,0
Wed Apr 12 2023,SPXW230412C04100000,41.61,14.61,42.6,42.9,662,0.1587,0.4753,0.0034,1544,4100.00,SPXW230412P04100000,51.13,-22.27,51.5,51.8,33,0.1583,-0.5244,0.0034,79
